"Subject Catalog Nbr
",Title,"Instructors

","Term
","Term Code
",Cross- listed,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP,S,U,I,W,IP,-,Total
BME 281P,Nanotech/Biosensors,Nader Pourmand,2022 Spr,2222,N,1,1,,,,,,,,,,,,,,,,,,,,2
BME 281R,Stem Cell Genomics,Daniel Kim,2022 Spr,2222,N,1,,,,,,,,,,,,,,,2,1,,,,,4
BME 281S,Sem Comput Genomics,Joshua Stuart,2022 Spr,2222,N,,,,,,,,,,,,,,,,4,1,,,,,5
BME 281V,Immunogenomics,Christopher Vollmers,2022 Spr,2222,N,1,,,,,,,,,,,,,,,3,,,,,,4
BME 281Z,Sem Pop/Evol Genom,Russell Corbett-Detig,2022 Spr,2222,N,5,,,,,,,,,,,,,,,5,,,,,,10
BME 297A,Ind Study/Research,Russell Corbett-Detig,2022 Spr,2222,N,1,,,,,,,,,,,,,,,2,,,,,,3
BME 297A,Ind Study/Research,Richard Edward Green,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BME 297A,Ind Study/Research,David Haussler,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BME 297A,Ind Study/Research,Daniel Kim,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BME 297A,Ind Study/Research,Todd Lowe,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BME 297A,Ind Study/Research,Benedict Paten,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BME 297A,Ind Study/Research,Joshua Stuart,2022 Spr,2222,N,,,,1,,,,,,,,,,,,1,,,,,,2
BME 297A,Ind Study/Research,Karen Miga,2022 Spr,2222,N,,,,,,,,,,,,,,,,,,,,,1,1
BME 297A,Ind Study/Research,Sofie Salama,2022 Spr,2222,N,,2,,,,,,,,,,,,,,,,,,,,2
BME 297B,Ind Study/Research,Angela Brooks,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BME 297B,Ind Study/Research,Russell Corbett-Detig,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BME 297B,Ind Study/Research,Richard Edward Green,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BME 297B,Ind Study/Research,David Haussler,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BME 297B,Ind Study/Research,Daniel Kim,2022 Spr,2222,N,,,,,,,,,,,,,,,,2,,,,,,2
BME 297B,Ind Study/Research,Benedict Paten,2022 Spr,2222,N,,,,,,,,,,,,,,,,4,,,,,,4
BME 297B,Ind Study/Research,Joshua Stuart,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BME 297B,Ind Study/Research,Christopher Vollmers,2022 Spr,2222,N,1,,,,,,,,,,,,,,,3,,,,,,4
BME 297B,Ind Study/Research,David Bernick,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BME 297B,Ind Study/Research,Ali Shariati,2022 Spr,2222,N,,,,,,,,,,,,,,,,2,,,,,,2
BME 297B,Ind Study/Research,Karen Miga,2022 Spr,2222,N,,,,,,,,,,,,,,,,,,,,,1,1
BME 297C,Ind Study/Research,Mark Akeson,2022 Spr,2222,N,,,,,,,,,,,,,,,,,,,,,1,1
BME 297C,Ind Study/Research,Russell Corbett-Detig,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BME 297C,Ind Study/Research,Benedict Paten,2022 Spr,2222,N,,1,,,,,,,,,,,,,,1,,,,,,2
BME 299A,Thesis Research,Daniel Kim,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BME 299A,Thesis Research,Todd Lowe,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BME 299A,Thesis Research,Benedict Paten,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BME 299A,Thesis Research,Joshua Stuart,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BME 299A,Thesis Research,David Bernick,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BME 299B,Thesis Research,Angela Brooks,2022 Spr,2222,N,,,,,,,,,,,,,,,,2,,,,,,2
BME 299B,Thesis Research,Russell Corbett-Detig,2022 Spr,2222,N,1,,,,,,,,,,,,,,,,,,,,,1
BME 299B,Thesis Research,Rebecca Dubois,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BME 299B,Thesis Research,Richard Edward Green,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BME 299B,Thesis Research,David Haussler,2022 Spr,2222,N,,,,,,,,,,,,,,,,2,,,,,,2
BME 299B,Thesis Research,Todd Lowe,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BME 299B,Thesis Research,Benedict Paten,2022 Spr,2222,N,,,,,,,,,,,,,,,,2,,,,,,2
BME 299B,Thesis Research,Joshua Stuart,2022 Spr,2222,N,,,,,,,,,,,,,,,,3,,,,,,3
BME 299C,Thesis Research,Angela Brooks,2022 Spr,2222,N,,,,,,,,,,,,,,,,4,,,,,,4
BME 299C,Thesis Research,Rebecca Dubois,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BME 299C,Thesis Research,Richard Edward Green,2022 Spr,2222,N,,1,,,,,,,,,,,,,,,,,,,,1
BME 299C,Thesis Research,David Haussler,2022 Spr,2222,N,1,,,,,,,,,,,,,,,1,,,,,,2
BME 299C,Thesis Research,Daniel Kim,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BME 299C,Thesis Research,Todd Lowe,2022 Spr,2222,N,1,,,,,,,,,,,,,,,,,,,,,1
BME 299C,Thesis Research,Benedict Paten,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
CHEM 1A,General Chemistry,Geri Kerstiens,2022 Spr,2222,N,,31,19,23,75,8,18,26,,,6,,19,5,6,,,3,3,,,242
CHEM 1B,General Chemistry,William Scott,2022 Spr,2222,N,141,131,14,27,33,2,9,14,,,7,,6,3,3,,,,3,,,393
CHEM 1C,General Chemistry,Aura Eroy-Reveles,2022 Spr,2222,N,,128,39,53,71,16,35,41,7,,12,,8,,,,,1,3,,,414
CHEM 1M,Gen Chem Lab,Randa Roland,2022 Spr,2222,N,,192,12,5,1,,,1,,,,,,1,,,,,1,,,213
CHEM 1N,Gen Chem Lab,Randa Roland,2022 Spr,2222,N,,312,24,11,10,5,1,,,,1,,5,1,4,,,,6,,,380
CHEM 1N,Gen Chem Lab,Randa Roland,2022 Spr,2222,N,,1,,,,,,,,,,,,,,,,,,,,1
CHEM 8B,Organic Chemistry,Bakthan Singaram,2022 Spr,2222,N,14,4,15,37,31,60,23,6,1,,,,11,1,5,,,,6,,,214
CHEM 8M,Organic Chem Lab,Rachel Snelling,2022 Spr,2222,N,1,68,14,6,4,2,,3,,,1,,2,,,,,,3,,,104
CHEM 103,Biochemistry,Sarah Loerch,2022 Spr,2222,N,5,6,4,6,3,7,2,5,,,5,,1,2,,,,,,,,46
CHEM 109,Org Chem:Apps to Bio,Caitlin Binder,2022 Spr,2222,N,10,104,4,1,6,,,1,,,,,,1,,,,,1,,,128
CHEM 110,IntermedOrganicChem,Shaun Mckinnie,2022 Spr,2222,N,11,13,4,7,4,5,7,15,,,2,,3,,1,,,,2,,,74
CHEM 110L,Int OrganicChem Lab,Caitlin Binder,2022 Spr,2222,N,4,34,9,2,5,2,1,4,,,,,,,1,,,,,,,62
CHEM 146B,Adv Lab Inorganic,Theodore Holman,2022 Spr,2222,N,4,1,1,3,1,,2,,,,,,,,,,,,2,,,14
CHEM 146C,Adv Lab Physical,Yat Li,2022 Spr,2222,N,,2,1,3,,2,,,,,,,,,,,,,1,,,9
CHEM 151B,Main Group Elements,Timothy Johnstone,2022 Spr,2222,N,4,3,1,,4,,,2,,,1,,,,,1,,,,,,16
CHEM 163C,Stat Thermo & Kinetics,Jin Zhang,2022 Spr,2222,N,7,3,4,7,5,3,2,2,1,,,,1,1,,,,,1,,,37
CHEM 169,Drug Design/Discvry,Robert Lokey,2022 Spr,2222,N,8,11,2,,1,,,,,,,,,,,1,,1,,,,24
CHEM 199,Tutorial,Alex Ayzner,2022 Spr,2222,N,,1,,,,,,,,,,,,,,,,,,,,1
CHEM 199,Tutorial,Michael Stone,2022 Spr,2222,N,,1,,,,,,,,,,,,,,,,,,,,1
CHEM 199F,Tutorial,Scott Oliver,2022 Spr,2222,N,1,,,,,,,,,,,,,,,,,,,,,1
CHEM 234,Bioinorganic Chem,Pradip Mascharak,2022 Spr,2222,N,1,1,2,2,,,,,,,,,,,,1,,,,,,7
CHEM 263,Quantum Mechanics,Yuan Ping,2022 Spr,2222,N,3,6,4,5,,,,,,,,,,,,,,,,,,18
CHEM 272,CHEM 272,Laura Sanchez,2022 Spr,2222,N,1,3,,,,,,,,,,,,,,4,,,,,,8
CHEM 274,Prosem Synth/Polymr,Rebecca Braslau,2022 Spr,2222,N,,,,,,,,,,,,,,,,2,,,,,,2
CHEM 275,Bio Inorganic Chem,Theodore Holman,2022 Spr,2222,N,,1,,,,,,,,,,,,,,,,,,,,1
CHEM 280,Materials Chem,Scott Oliver,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,1,,,,2
CHEM 291,Chemistry Seminar,Laura Sanchez,2022 Spr,2222,N,,,,,,,,,,,,,,,,56,,,,,,56
CHEM 297A,Independent Study,John MacMillan,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
CHEM 297A,Independent Study,Rebecca Braslau,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
CHEM 297A,Independent Study,Shaun Mckinnie,2022 Spr,2222,N,,,,,,,,,,,,,,,,2,,,,,,2
CHEM 297A,Independent Study,Robert Lokey,2022 Spr,2222,N,1,,,,,,,,,,,,,,,1,,,,,,2
CHEM 297A,Independent Study,Carrie Partch,2022 Spr,2222,N,,,,,,,,,,,,,,,,3,,,,,,3
CHEM 297A,Independent Study,Seth Rubin,2022 Spr,2222,N,,,,,,,,,,,,,,,,2,,,,,,2
CHEM 297A,Independent Study,Shaowei Chen,2022 Spr,2222,N,,,,,,,,,,,,,,,,2,,,,,,2
CHEM 297A,Independent Study,Yat Li,2022 Spr,2222,N,,,,,,,,,,,,,,,,3,,,,,,3
CHEM 297A,Independent Study,Jin Zhang,2022 Spr,2222,N,,,,,,,,,,,,,,,,2,,,,,,2
CHEM 297A,Independent Study,Laura Sanchez,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
CHEM 297A,Independent Study,Sarah Loerch,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
CHEM 297A,Independent Study,Russell Corbett-Detig,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
CHEM 297A,Independent Study,Camilla Forsberg,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
CHEM 297B,Independent Study,John MacMillan,2022 Spr,2222,N,,,,,,,,,,,,,,,,2,,,,,,2
CHEM 297B,Independent Study,Rebecca Braslau,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
CHEM 297B,Independent Study,Theodore Holman,2022 Spr,2222,N,,2,,,,,,,,,,,,,,1,,,,,,3
CHEM 297B,Independent Study,Jevgenij Raskatov,2022 Spr,2222,N,,,,,,,,,,,,,,,,,,,,,1,1
CHEM 297B,Independent Study,Shaun Mckinnie,2022 Spr,2222,N,,,,,,,,,,,,,,,,2,,,,,,2
CHEM 297B,Independent Study,Glenn Millhauser,2022 Spr,2222,N,,,,,,,,,,,,,,,,3,,,,,,3
CHEM 297B,Independent Study,Seth Rubin,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
CHEM 297B,Independent Study,Michael Stone,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
CHEM 297B,Independent Study,Timothy Johnstone,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
CHEM 297B,Independent Study,Yat Li,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
CHEM 297B,Independent Study,Harry Noller,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
CHEM 297B,Independent Study,Laura Sanchez,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
CHEM 297B,Independent Study,Lindsay Hinck,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
CHEM 299B,Thesis Research,John MacMillan,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
CHEM 299B,Thesis Research,Carrie Partch,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
CHEM 299C,Thesis Research,Alex Ayzner,2022 Spr,2222,N,,,,,,,,,,,,,,,,2,,,,,,2
CHEM 299C,Thesis Research,Harry Noller,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
CHEM 299C,Thesis Research,Bin Chen,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
CHEM 299C,Thesis Research,Shaowei Chen,2022 Spr,2222,N,,,,,,,,,,,,,,,,2,,,,,,2
CHEM 299C,Thesis Research,Alan Zahler,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
CHEM 299C,Thesis Research,Yuan Ping,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
CHEM 299C,Thesis Research,Melissa Jurica,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
CHEM 299C,Thesis Research,David Kliger,2022 Spr,2222,N,,,,,,,,,,,,,,,,2,,,,,,2
CHEM 299C,Thesis Research,John MacMillan,2022 Spr,2222,N,,,,,,,,,,,,,,,,2,,,,,,2
CHEM 299C,Thesis Research,Robert Lokey,2022 Spr,2222,N,,,,,,,,,,,,,,,,3,,,,,,3
CHEM 299C,Thesis Research,Scott Oliver,2022 Spr,2222,N,1,,,,,,,,,,,,,,,2,,,,,,3
CHEM 299C,Thesis Research,Michael Stone,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
CHEM 299C,Thesis Research,Carrie Partch,2022 Spr,2222,N,,,,,,,,,,,,,,,,2,,,,,,2
CHEM 299C,Thesis Research,Jin Zhang,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,1,,,,2
CHEM 299C,Thesis Research,Seth Rubin,2022 Spr,2222,N,,,,,,,,,,,,,,,,4,,,,,,4
CHEM 299C,Thesis Research,Yat Li,2022 Spr,2222,N,,,,,,,,,,,,,,,,4,,,,,,4
CHEM 299C,Thesis Research,Laura Sanchez,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
CHEM 299C,Thesis Research,Timothy Johnstone,2022 Spr,2222,N,,,,,,,,,,,,,,,,3,,,,,,3
CHEM 299C,Thesis Research,Jordan Ward,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
CHIN 3,Chinese: First Year,Elu (I Ju) Tu,2022 Spr,2222,N,1,4,,,1,,,,,,,,,,,,,,,,,6
CHIN 3,Chinese: First Year,Elu (I Ju) Tu,2022 Spr,2222,N,,15,,,6,2,,,,,,,,2,,,,,,,,25
CHIN 6,Chinese: Second Year,Ting-Ting Wu,2022 Spr,2222,N,10,4,3,,3,,,,,,,,2,2,,,,,1,,,25
CHIN 105,Adv Chinese: History,Ting-Ting Wu,2022 Spr,2222,N,12,12,3,1,2,,,,,,,,1,1,,,,,,,,32
CLNI 30,(H)ACER Internship,Linnea Beckett,2022 Spr,2222,N,3,1,,,,,,,,,,,,,,,,,,,,4
CLTE 30,(H)ACER Internship,Linnea Beckett,2022 Spr,2222,N,,3,,,,,,,,,,,,2,,,,,,,,5
CLNI 70,Community Garden,Linnea Beckett,2022 Spr,2222,N,,15,4,,,,,,,,,,,2,,,,,,,,21
CLST 197F,Sen Comp Exam Prep,Charles Hedrick,2022 Spr,2222,N,,2,,,,,,,,,,,,,,,,,,,,2
CLST 197F,Sen Comp Exam Prep,Elaine Sullivan,2022 Spr,2222,N,,,,1,,,,,,,,,,,,,,,,,,1
CLTE 92,Social Justice Issues,Flora Lu,2022 Spr,2222,N,15,2,1,,,,,1,,,,,,6,,,,,,,,25
CLTE 92,Social Justice Issues,Erin Ramsden,2022 Spr,2222,N,8,,,,,,,,,,,,,,1,1,,,,,,10
CLTE 92,Social Justice Issues,Erin Ramsden,2022 Spr,2222,N,,,,,,,,,,,,,,,,,,,1,,,1
CLTE 92,Social Justice Issues,Erin Ramsden,2022 Spr,2222,N,,,,,,,,,,,,,,1,,,,,,,,1
CLTE 135,Apprentice Comm Rsrch,Linnea Beckett,2022 Spr,2222,N,,13,7,5,1,,,,,,,,1,1,,,,1,,,,29
CLTE 199F,Tutorial,Erin Ramsden,2022 Spr,2222,N,1,,,,,,,,,,,,,,,,,,,,,1
CMMU 30,NumbersSocialJustice,Julianne Foxworthy Gonzalez,2022 Spr,2222,N,4,11,8,3,3,2,3,,,,,,3,1,1,,,1,,,,40
CMMU 102,Prep Field Studies,Elliott Oakley,2022 Spr,2222,N,,13,9,4,6,,2,,,,,,,,,,,,,,,34
CMMU 149,Pol Econ Food & Ag,Julie Guthman,2022 Spr,2222,N,1,11,1,2,5,,,,,,,,,,,,,,1,,,21
CMMU 160,Public Health,Alison Hayes,2022 Spr,2222,N,6,16,1,,1,,,1,,,,,,,,,,,,,,25
CMMU 189,MentorCommunityStudies,Julie Guthman,2022 Spr,2222,N,,5,,,,,,,,,,,,,,,,,,,,5
CMPM 15,Research Explorations,David Lee; Jim Whitehead,2022 Spr,2222,N,,49,3,,,,,,,,,,,7,,,,,2,,,61
CMPM 27,Substance Painter,Christopher Yonge,2022 Spr,2222,N,7,11,2,1,4,,1,,,,,,,2,1,,,,,,,29
CMPM 80K,FoundationsGameDesgn,Noah Wardrip-Fruin,2022 Spr,2222,N,103,70,31,19,8,5,3,2,2,1,1,,13,19,8,,,,9,,,294
CMPM 120,Game Develop Exp,Adam Smith,2022 Spr,2222,N,34,25,13,3,3,3,2,1,,,,,4,,1,,,,,,,89
CMPM 120,Game Develop Exp,Jim Whitehead,2022 Spr,2222,N,35,106,19,4,,3,2,,,,,,2,,1,,,1,,,,173
CMPM 131,User Experience,Hadiseh Gooranorimi,2022 Spr,2222,N,42,80,8,,,,,,,,,,,,,,,,,,,130
CMPM 152,Musical Data,Brian Hansen,2022 Spr,2222,N,,29,6,3,3,1,,2,,,,,1,3,,1,,1,2,,,52
CMPM 164,Game Engines,Eric Lengyel,2022 Spr,2222,N,,13,6,2,,,,,,,,,,1,,,,,3,,,25
CMPM 164L,Game Engines Lab,Eric Lengyel,2022 Spr,2222,N,,12,6,2,,,,,,,,,,1,,1,,,3,,,25
CMPM 172,Game Design III,Nathan Altice,2022 Spr,2222,N,46,10,9,,,,,,,,,,,,,,,,,,,65
CMPM 172,Game Design III,Nathan Altice,2022 Spr,2222,N,41,4,8,2,1,,1,,,,,,,,,,,,,,,57
CMPM 177,Creative Strategies,Katherine Isbister,2022 Spr,2222,N,1,28,49,21,5,3,2,1,,,,,1,2,,,,1,2,,,116
CMPM 194,Group Tutorial,Jim Whitehead,2022 Spr,2222,N,,12,,,,,,,,,,,,,,,,,,,,12
CMPM 194,Group Tutorial,David Lee,2022 Spr,2222,N,,28,,,,,,,,,,,,1,,,,,1,,,30
CMPM 194,Group Tutorial,James Davis,2022 Spr,2222,N,,5,,,,,,,,,,,,,,,,,,,,5
CMPM 194F,Group Tutorial,David Lee,2022 Spr,2222,N,,21,,,,,,,,,,,,,,,,,,,,21
CMPM 198,Ind Study/Research,Nathan Altice,2022 Spr,2222,N,,,,,,,,,,,,,,1,,,,,,,,1
CMPM 198,Ind Study/Research,Angus Forbes,2022 Spr,2222,N,,1,,,,,,,,,,,,,,,,,,,,1
CMPM 198,Ind Study/Research,Katherine Isbister,2022 Spr,2222,N,,1,,,,,,,,,,,,,,,,,,,,1
CMPM 198,Ind Study/Research,Sri Kurniawan,2022 Spr,2222,N,,4,,,,,,,,,,,,,,,,,,,,4
CMPM 198,Ind Study/Research,Sri Kurniawan,2022 Spr,2222,N,,1,,,,,,,,,,,,,,,,,,,,1
CMPM 198F,Ind Study/Research,Angus Forbes,2022 Spr,2222,N,,,,,,,,,,,,,,1,,,,,,,,1
CMPM 198F,Ind Study/Research,Sri Kurniawan,2022 Spr,2222,N,,1,,,,,,,,,,,,,,,,,,,,1
CMPM 198F,Ind Study/Research,David Lee,2022 Spr,2222,N,,1,,,,,,,,,,,,,,,,,,,,1
CMPM 198F,Ind Study/Research,Edward Melcer,2022 Spr,2222,N,,1,,,,,,,,,,,,,,,,,,,,1
CMPM 198F,Ind Study/Research,Elin Carstensdottir,2022 Spr,2222,N,,,,,,,,,,,,,,1,,,,,,,,1
CMPM 198F,Ind Study/Research,Sri Kurniawan,2022 Spr,2222,N,,1,,,,,,,,,,,,,,,,,,,,1
CMPM 198F,Ind Study/Research,Sri Kurniawan,2022 Spr,2222,N,,1,,,,,,,,,,,,,,,,,,,,1
CMPM 203,Comp Media Methods,Sri Kurniawan,2022 Spr,2222,N,,4,,,,,,,,,,,,,,5,,,,,,9
CMPM 203,Comp Media Methods,Sri Kurniawan,2022 Spr,2222,N,,3,,,,,,,,,,,,,,3,,,,,,6
CMPM 206,Comp Media Research,Michael Mateas,2022 Spr,2222,N,,,,,,,,,,,,,,,,8,,,,,,8
CMPM 280C,CM Seminar,Sri Kurniawan,2022 Spr,2222,N,,2,,,,,,,,,,,,,,14,,,,,,16
CMPM 280F,Creative Coding Sem,Angus Forbes,2022 Spr,2222,N,,,,,,,,,,,,,,1,,5,,,,,,6
CMPM 280G,Generative Seminar,Adam Smith,2022 Spr,2222,N,,1,,,,,,,,,,,,,,4,,,,,,5
CMPM 280K,ISISN Seminar,Sri Kurniawan,2022 Spr,2222,N,,1,,,,,,,,,,,,,,1,,,,,,2
CMPM 280P,Sem in PEM,Magy Seif El-Nasr,2022 Spr,2222,N,,,,,,,,,,,,,,,,6,,,,,,6
CMPM 280W,Digital Media,Nathan Altice,2022 Spr,2222,N,,,,,,,,,,,,,,,,3,,,,,,3
CMPM 280X,Expressive AI,Michael Mateas; Noah Wardrip-Fruin,2022 Spr,2222,N,,1,,,,,,,,,,,,,,5,,,,,,6
CMPM 297A,Ind Stu or Research,Nathan Altice,2022 Spr,2222,N,,,,,,,,,,,,,,,,2,,,,,,2
CMPM 297A,Ind Stu or Research,Katherine Isbister,2022 Spr,2222,N,,2,,,,,,,,,,,,,,,,,,,,2
CMPM 297A,Ind Stu or Research,Michael John,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
CMPM 297A,Ind Stu or Research,Sri Kurniawan,2022 Spr,2222,N,,1,,,,,,,,,,,,,,,,,,,,1
CMPM 297A,Ind Stu or Research,Edward Melcer,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
CMPM 297A,Ind Stu or Research,Jim Whitehead,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
CMPM 297A,Ind Stu or Research,Magy Seif El-Nasr,2022 Spr,2222,N,,1,,,,,,,,,,,,,,2,,,,,,3
CMPM 297A,Ind Stu or Research,Elin Carstensdottir,2022 Spr,2222,N,,,,,,,,,,,,,,,,2,,,,,,2
CMPM 297A,Ind Stu or Research,Kathryn Ringland,2022 Spr,2222,N,,,,,,,,,,,,,,,,2,,,,,,2
CMPM 297B,Ind Stu or Research,Nathan Altice,2022 Spr,2222,N,,,,,,,,,,,,,,,,,1,,,,,1
CMPM 297B,Ind Stu or Research,Angus Forbes,2022 Spr,2222,N,,,,,,,,,,,,,,,,2,,,,,,2
CMPM 297B,Ind Stu or Research,Katherine Isbister,2022 Spr,2222,N,,,,,,,,,,,,,,,,2,,,,,,2
CMPM 297B,Ind Stu or Research,Michael John,2022 Spr,2222,N,,1,,,,,,,,,,,,,,,,,,,,1
CMPM 297B,Ind Stu or Research,Sri Kurniawan,2022 Spr,2222,N,,1,,,,,,,,,,,,,,2,,,,,,3
CMPM 297B,Ind Stu or Research,David Lee,2022 Spr,2222,N,,,,,,,,,,,,,,,,3,,,,,,3
CMPM 297B,Ind Stu or Research,Michael Mateas,2022 Spr,2222,N,,1,,,,,,,,,,,,,,2,,,,,,3
CMPM 297B,Ind Stu or Research,Edward Melcer,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
CMPM 297B,Ind Stu or Research,Jim Whitehead,2022 Spr,2222,N,,,,,,,,,,,,,,,,4,,,,,,4
CMPM 297B,Ind Stu or Research,Stephen Whittaker,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
CMPM 297B,Ind Stu or Research,Daniel Shapiro,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
CMPM 297B,Ind Stu or Research,Magy Seif El-Nasr,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
CMPM 297B,Ind Stu or Research,Elin Carstensdottir,2022 Spr,2222,N,,,,,,,,,,,,,,,,2,,,,,,2
CMPM 297B,Ind Stu or Research,Kathryn Ringland,2022 Spr,2222,N,,,,,,,,,,,,,,,,2,,,,,,2
CMPM 297C,Ind Stu or Research,Michael Mateas,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
CMPM 297F,Ind Stu or Research,Angus Forbes,2022 Spr,2222,N,,,,,1,,,,,,,,,,,,,,,,,1
CMPM 297F,Ind Stu or Research,Elin Carstensdottir,2022 Spr,2222,N,,1,,,,,,,,,,,,,,1,,,,,,2
CMPM 299A,Thesis Research,Katherine Isbister,2022 Spr,2222,N,,,,,,,,,,,,,,,,2,,,,,,2
CMPM 299A,Thesis Research,Adam Smith,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
CMPM 299B,Thesis Research,Nathan Altice,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
CMPM 299B,Thesis Research,Angus Forbes,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
CMPM 299B,Thesis Research,Katherine Isbister,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
CMPM 299B,Thesis Research,Sri Kurniawan,2022 Spr,2222,N,,,,,,,,,,,,,,,,2,,,,,,2
CMPM 299B,Thesis Research,David Lee,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
CMPM 299B,Thesis Research,Stephen Whittaker,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
CMPM 299B,Thesis Research,Magy Seif El-Nasr,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
CMPM 299B,Thesis Research,Kathryn Ringland,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
CMPM 299C,Thesis Research,Michael Mateas,2022 Spr,2222,N,,,,,,,,,,,,,,,,2,,,,,,2
COWL 11C,Leader Intelligence,Miranda Allen-Brower,2022 Spr,2222,N,14,2,,,2,,,,,,,,,4,,,,,,,,22
COWL 65,Meaning Paradox Love,Addi Somekh,2022 Spr,2222,N,6,103,,,,,,,,,,,,2,,,,,,,,111
COWL 70C,Advanced Book Arts,Gary Young,2022 Spr,2222,N,2,9,,,,,,,,,,,,,,,,,,,,11
COWL 89,Fac Research Colloq,Amanda Smith,2022 Spr,2222,N,97,98,16,4,5,4,1,2,,1,2,,1,3,1,,,,,,,235
COWL 111,Mock Trial Workshop,Caitlin Stinneford,2022 Spr,2222,N,5,35,11,4,4,,4,,,,1,1,4,9,,,,,3,,,81
COWL 122,UN-Contemporary Issues,Caitlin Stinneford,2022 Spr,2222,Y,1,13,6,2,1,1,1,1,,,,,1,7,1,,,,2,,,37
